Learner ID,Course Prefix,Platform,Course Name,Term,AY,Verified,Passed,Credit Converted,Grade
asuLearn89,CHM-300,Inclass,CHM,2244C,AY24,1,1,0,89
asuLearn07,ENG-101,Inclass,ENG,2231C,AY23,1,1,0,97
asuLearn10,MAT-400,Online,MAT,2241A,AY24,1,0,0,36
asuLearn22,PSY-302,Inclass,PSY,2237C,AY23,1,1,1,8
asuLearn86,SOC-234,Online,SOC,2244A,AY24,1,1,1,63
asuLearn93,MAT-400,Online,MAT,2247B,AY24,1,1,1,95
asuLearn29,CHM-500,Inclass,CHM,2244C,AY24,1,1,0,2
asuLearn74,CHM-500,Inclass,CHM,2247C,AY24,0,0,0,58
asuLearn99,SOC-500,Inclass,SOC,2244A,AY24,0,0,0,97
asuLearn17,MAT-101,Online,MAT,2237C,AY23,0,0,0,52
asuLearn39,MAT-117,Inclass,MAT,2237B,AY23,1,1,1,17
asuLearn92,MAT-400,Online,MAT,2241B,AY24,1,0,0,65
asuLearn02,CHM-300,Inclass,CHM,2234A,AY23,0,0,0,30
asuLearn04,ENG-101,Inclass,ENG,2244C,AY24,1,0,0,39
asuLearn41,CHM-300,Inclass,CHM,2244C,AY24,1,1,1,33
asuLearn83,PSY-302,Inclass,PSY,2237A,AY23,0,0,0,63
asuLearn52,MAT-101,Online,MAT,2231B,AY23,0,0,0,87
asuLearn23,SOC-234,Online,SOC,2234C,AY23,1,0,0,12
asuLearn91,SOC-234,Online,SOC,2241A,AY24,1,1,0,54
asuLearn02,CHM-500,Inclass,CHM,2247B,AY24,0,0,0,45
asuLearn02,MAT-117,Inclass,MAT,2241A,AY24,1,0,0,48
asuLearn91,MAT-101,Online,MAT,2241C,AY24,0,0,0,52
asuLearn63,MAT-400,Online,MAT,2237A,AY23,1,1,0,84
asuLearn85,SOC-234,Online,SOC,2231B,AY23,0,0,0,62
asuLearn87,PSY-102,Online,PSY,2241A,AY24,0,0,0,59
asuLearn92,PSY-102,Online,PSY,2231C,AY23,0,0,0,88
asuLearn77,ENG-101,Inclass,ENG,2237A,AY23,0,0,0,35
asuLearn32,ENG-101,Inclass,ENG,2237C,AY23,1,1,0,48
asuLearn24,SOC-234,Online,SOC,2247A,AY24,1,1,0,46
asuLearn50,CHM-500,Inclass,CHM,2231C,AY23,1,0,0,31
asuLearn31,MAT-117,Inclass,MAT,2231C,AY23,0,0,0,92
asuLearn07,MAT-117,Inclass,MAT,2241B,AY24,1,0,0,10
asuLearn89,SOC-234,Online,SOC,2231B,AY23,1,1,0,39
asuLearn46,PSY-302,Inclass,PSY,2241B,AY24,1,0,0,10
asuLearn13,MAT-117,Inclass,MAT,2241A,AY24,0,0,0,48
asuLearn01,SOC-500,Inclass,SOC,2234B,AY23,1,0,0,2
asuLearn65,CHM-500,Inclass,CHM,2231C,AY23,1,0,0,7
asuLearn88,CHM-500,Inclass,CHM,2231A,AY23,0,0,0,33
asuLearn78,PSY-102,Online,PSY,2231B,AY23,0,0,0,90
asuLearn09,MAT-117,Inclass,MAT,2231A,AY23,1,1,1,76
asuLearn11,SOC-234,Online,SOC,2244B,AY24,0,0,0,57
asuLearn94,PSY-302,Inclass,PSY,2237C,AY23,1,0,0,62
asuLearn01,MAT-400,Online,MAT,2241A,AY24,1,1,0,52
asuLearn63,MAT-101,Online,MAT,2244B,AY24,0,0,0,8
asuLearn10,MAT-117,Inclass,MAT,2247C,AY24,0,0,0,78
asuLearn58,ENG-101,Inclass,ENG,2244B,AY24,0,0,0,99
asuLearn23,SOC-234,Online,SOC,2231C,AY23,1,0,0,92
asuLearn46,PSY-102,Online,PSY,2241C,AY24,1,0,0,77
asuLearn72,ENG-101,Inclass,ENG,2234A,AY23,1,0,0,86
asuLearn13,PSY-302,Inclass,PSY,2237A,AY23,0,0,0,75
asuLearn48,PSY-102,Online,PSY,2237A,AY23,0,0,0,64
asuLearn95,MAT-117,Inclass,MAT,2234C,AY23,0,0,0,60
asuLearn34,PSY-302,Inclass,PSY,2234B,AY23,1,1,0,66
asuLearn97,PSY-302,Inclass,PSY,2241B,AY24,1,1,0,17
asuLearn91,MAT-101,Online,MAT,2244B,AY24,0,0,0,24
asuLearn23,PSY-302,Inclass,PSY,2237C,AY23,1,0,0,51
asuLearn61,PSY-102,Online,PSY,2244A,AY24,1,0,0,95
asuLearn06,CHM-300,Inclass,CHM,2231A,AY23,1,0,0,37
asuLearn15,ENG-101,Inclass,ENG,2234B,AY23,0,0,0,57
asuLearn63,PSY-102,Online,PSY,2241A,AY24,1,1,0,94
asuLearn20,MAT-400,Online,MAT,2241A,AY24,0,0,0,24
asuLearn81,MAT-117,Inclass,MAT,2241A,AY24,0,0,0,25
asuLearn71,SOC-234,Online,SOC,2234A,AY23,1,1,1,62
asuLearn13,PSY-302,Inclass,PSY,2234C,AY23,0,0,0,80
asuLearn61,SOC-500,Inclass,SOC,2247B,AY24,0,0,0,85
asuLearn80,PSY-102,Online,PSY,2247A,AY24,0,0,0,1
asuLearn04,MAT-101,Online,MAT,2237C,AY23,0,0,0,28
asuLearn05,CHM-300,Inclass,CHM,2241A,AY24,0,0,0,43
asuLearn46,SOC-500,Inclass,SOC,2231C,AY23,0,0,0,76
asuLearn29,PSY-302,Inclass,PSY,2234C,AY23,1,0,0,63
asuLearn67,SOC-234,Online,SOC,2231A,AY23,0,0,0,13
asuLearn77,ENG-101,Inclass,ENG,2241A,AY24,1,0,0,85
asuLearn59,PSY-102,Online,PSY,2231B,AY23,0,0,0,62
asuLearn66,MAT-400,Online,MAT,2247C,AY24,0,0,0,84
asuLearn12,SOC-234,Online,SOC,2231A,AY23,1,1,1,89
asuLearn32,CHM-500,Inclass,CHM,2244A,AY24,1,1,1,29
asuLearn82,PSY-102,Online,PSY,2231B,AY23,1,1,1,30
asuLearn64,PSY-302,Inclass,PSY,2234C,AY23,0,0,0,22
asuLearn27,ENG-101,Inclass,ENG,2231C,AY23,1,1,0,1
asuLearn82,PSY-302,Inclass,PSY,2241B,AY24,0,0,0,0
asuLearn41,SOC-234,Online,SOC,2247A,AY24,1,0,0,4
asuLearn82,PSY-102,Online,PSY,2237B,AY23,1,1,0,47
asuLearn12,MAT-101,Online,MAT,2241C,AY24,0,0,0,88
asuLearn13,CHM-500,Inclass,CHM,2244C,AY24,1,1,0,55
asuLearn58,ENG-101,Inclass,ENG,2244C,AY24,1,1,0,45
asuLearn05,SOC-500,Inclass,SOC,2247C,AY24,0,0,0,100
asuLearn84,PSY-302,Inclass,PSY,2237B,AY23,0,0,0,3
asuLearn86,MAT-117,Inclass,MAT,2231A,AY23,0,0,0,70
asuLearn33,ENG-101,Inclass,ENG,2237C,AY23,0,0,0,67
asuLearn51,MAT-117,Inclass,MAT,2237A,AY23,1,0,0,66
asuLearn62,MAT-101,Online,MAT,2241C,AY24,1,1,0,97
asuLearn71,CHM-300,Inclass,CHM,2231B,AY23,1,0,0,76
asuLearn44,CHM-300,Inclass,CHM,2234B,AY23,0,0,0,90
asuLearn49,MAT-400,Online,MAT,2234A,AY23,0,0,0,35
asuLearn81,SOC-234,Online,SOC,2241B,AY24,0,0,0,35
asuLearn76,MAT-117,Inclass,MAT,2237C,AY23,0,0,0,93
asuLearn03,ENG-101,Inclass,ENG,2247C,AY24,1,0,0,62
asuLearn51,PSY-102,Online,PSY,2234C,AY23,1,1,1,87
asuLearn49,MAT-117,Inclass,MAT,2231C,AY23,0,0,0,14
asuLearn73,SOC-234,Online,SOC,2247B,AY24,1,1,0,75
asuLearn09,MAT-101,Online,MAT,2231A,AY23,0,0,0,8
asuLearn20,CHM-500,Inclass,CHM,2234C,AY23,1,1,1,29
asuLearn13,PSY-102,Online,PSY,2247A,AY24,1,1,0,57
asuLearn84,CHM-500,Inclass,CHM,2234C,AY23,0,0,0,96
asuLearn45,CHM-500,Inclass,CHM,2241C,AY24,1,0,0,66
asuLearn38,CHM-500,Inclass,CHM,2234C,AY23,0,0,0,87
asuLearn89,CHM-500,Inclass,CHM,2231A,AY23,1,1,0,62
asuLearn45,SOC-500,Inclass,SOC,2231B,AY23,1,1,0,46
asuLearn85,MAT-117,Inclass,MAT,2234A,AY23,0,0,0,0
asuLearn91,MAT-117,Inclass,MAT,2247A,AY24,0,0,0,88
asuLearn28,PSY-102,Online,PSY,2237B,AY23,0,0,0,9
asuLearn64,ENG-101,Inclass,ENG,2244A,AY24,1,0,0,54
asuLearn55,SOC-500,Inclass,SOC,2237C,AY23,1,0,0,16
asuLearn34,PSY-302,Inclass,PSY,2231A,AY23,1,1,1,91
asuLearn45,ENG-101,Inclass,ENG,2244B,AY24,1,0,0,55
asuLearn57,MAT-101,Online,MAT,2237C,AY23,1,0,0,6
asuLearn71,PSY-102,Online,PSY,2231C,AY23,0,0,0,55
asuLearn05,MAT-117,Inclass,MAT,2244A,AY24,1,0,0,85
asuLearn68,PSY-102,Online,PSY,2247A,AY24,0,0,0,89
asuLearn22,ENG-101,Inclass,ENG,2237C,AY23,1,1,0,6
asuLearn24,SOC-234,Online,SOC,2247A,AY24,1,1,0,96
asuLearn44,MAT-117,Inclass,MAT,2241C,AY24,0,0,0,89
asuLearn29,CHM-500,Inclass,CHM,2234B,AY23,0,0,0,38
asuLearn35,MAT-400,Online,MAT,2241C,AY24,0,0,0,3
asuLearn36,MAT-101,Online,MAT,2237C,AY23,0,0,0,30
asuLearn19,ENG-101,Inclass,ENG,2234B,AY23,1,1,1,97
asuLearn48,CHM-300,Inclass,CHM,2247A,AY24,1,1,1,54
asuLearn18,CHM-300,Inclass,CHM,2237B,AY23,1,1,0,46
asuLearn76,MAT-101,Online,MAT,2247C,AY24,0,0,0,75
asuLearn19,SOC-234,Online,SOC,2231A,AY23,0,0,0,74
asuLearn38,CHM-500,Inclass,CHM,2237C,AY23,1,1,0,89
asuLearn49,SOC-500,Inclass,SOC,2247A,AY24,1,1,1,40
asuLearn84,MAT-400,Online,MAT,2244A,AY24,0,0,0,88
asuLearn16,SOC-234,Online,SOC,2241A,AY24,0,0,0,44
asuLearn40,PSY-302,Inclass,PSY,2244B,AY24,0,0,0,0
asuLearn43,SOC-500,Inclass,SOC,2244C,AY24,1,1,1,59
asuLearn32,MAT-101,Online,MAT,2247B,AY24,0,0,0,79
asuLearn60,MAT-101,Online,MAT,2237C,AY23,1,1,1,93
asuLearn80,SOC-234,Online,SOC,2244B,AY24,0,0,0,55
asuLearn57,ENG-101,Inclass,ENG,2231A,AY23,1,0,0,79
asuLearn54,MAT-101,Online,MAT,2237C,AY23,0,0,0,77
asuLearn86,ENG-101,Inclass,ENG,2244A,AY24,1,1,0,85
asuLearn77,SOC-234,Online,SOC,2247B,AY24,0,0,0,16
asuLearn11,MAT-117,Inclass,MAT,2241A,AY24,0,0,0,73
asuLearn27,MAT-400,Online,MAT,2234C,AY23,0,0,0,12
asuLearn65,PSY-302,Inclass,PSY,2244B,AY24,0,0,0,65
asuLearn80,ENG-101,Inclass,ENG,2244C,AY24,0,0,0,48
asuLearn89,MAT-101,Online,MAT,2247A,AY24,0,0,0,86
asuLearn04,CHM-500,Inclass,CHM,2237C,AY23,1,1,0,15
asuLearn52,PSY-302,Inclass,PSY,2244A,AY24,0,0,0,82
asuLearn26,MAT-101,Online,MAT,2241A,AY24,1,0,0,79
asuLearn24,CHM-500,Inclass,CHM,2247B,AY24,0,0,0,60
asuLearn45,SOC-234,Online,SOC,2241C,AY24,0,0,0,78
asuLearn06,ENG-101,Inclass,ENG,2237C,AY23,1,1,1,75
asuLearn25,MAT-400,Online,MAT,2237B,AY23,1,0,0,78
asuLearn77,CHM-300,Inclass,CHM,2241A,AY24,1,1,1,66
asuLearn53,PSY-102,Online,PSY,2244C,AY24,1,0,0,28
asuLearn92,CHM-300,Inclass,CHM,2231A,AY23,1,0,0,95
asuLearn92,MAT-101,Online,MAT,2231C,AY23,0,0,0,11
asuLearn36,MAT-101,Online,MAT,2244C,AY24,1,1,0,73
asuLearn79,PSY-102,Online,PSY,2234A,AY23,1,1,1,13
